timeStamp,demand,precip,temp
2012-01-01,4954.833333333333,0.0024874999999999,46.51
2012-01-02,5302.954166666666,0.0,40.49666666666667
2012-01-03,6095.5125,0.0,26.672500000000003
2012-01-04,6336.266666666666,0.0,20.585
2012-01-05,6130.245833333334,0.0,33.5775
2012-01-06,5867.537499999999,0.0,43.40083333333334
2012-01-07,5177.441666666667,0.0,51.49791666666667
2012-01-08,5120.541666666665,0.0,41.46708333333333
2012-01-09,5890.820833333334,0.0,35.36
2012-01-10,5871.2625,0.0,40.50333333333334
2012-01-11,5829.004166666667,0.0004166666666666,41.69375000000001
2012-01-12,5878.841666666666,0.0478958333333333,43.33374999999999
2012-01-13,5904.416666666665,0.00095,37.62791666666667
2012-01-14,5548.316666666667,0.0,30.33583333333333
2012-01-15,5576.208333333332,0.0,20.76333333333333
2012-01-16,5954.983333333334,0.0007083333333333,25.914166666666677
2012-01-17,6004.020833333333,0.0057916666666666,41.900416666666665
2012-01-18,5960.254166666667,0.0,38.50208333333334
2012-01-19,6129.174999999999,0.0,28.640833333333337
2012-01-20,6077.829166666666,0.0,30.34708333333334
2012-01-21,5752.662499999999,0.0117458333333333,26.077083333333334
2012-01-22,5626.591666666667,0.0,26.61583333333333
2012-01-23,6029.995833333332,0.0118125,41.49333333333333
2012-01-24,5780.766666666667,0.000175,47.55458333333333
2012-01-25,5829.174999999999,0.0,40.22916666666666
2012-01-26,5936.504166666667,0.0057166666666666,36.802083333333336
2012-01-27,5833.962500000001,0.0088958333333333,48.95999999999999
2012-01-28,5215.270833333333,0.0,42.548750000000005
2012-01-29,5178.079166666667,0.0,39.20083333333333
2012-01-30,5900.945833333332,0.0,37.12083333333334
2012-01-31,5787.949999999998,0.0,46.67041666666666
2012-02-01,5679.599999999999,0.0013375,54.01083333333333
2012-02-02,5742.720833333333,0.0,42.4575
2012-02-03,5828.145833333335,0.0,36.81958333333333
2012-02-04,5258.9375,0.0,41.18083333333333
2012-02-05,5191.8708333333325,0.0,35.150000000000006
2012-02-06,5804.133333333332,0.0,41.06041666666666
2012-02-07,5767.066666666666,0.0,42.87291666666667
2012-02-08,5911.633333333335,8.333333333333333e-05,34.14791666666667
2012-02-09,5884.958333333333,0.0,37.3675
2012-02-10,5795.608333333333,0.0,39.3725
2012-02-11,5391.970833333334,0.00245,35.78249999999999
2012-02-12,5471.116666666666,0.0,27.101666666666663
2012-02-13,5987.987499999999,0.0,35.071250000000006
2012-02-14,5856.758333333335,0.0006625,41.08833333333333
2012-02-15,5844.724999999999,0.0003791666666666,42.23541666666667
2012-02-16,5872.762500000001,0.0060708333333333,40.23541666666666
2012-02-17,5703.562500000001,0.0009874999999999,45.15916666666667
2012-02-18,5179.041666666668,0.000925,40.88708333333333
2012-02-19,5052.441666666667,0.0,39.00083333333333
2012-02-20,5407.370833333333,0.0,37.22458333333334
2012-02-21,5787.5,0.0,39.605416666666656
2012-02-22,5654.199999999998,0.0,48.34
2012-02-23,5590.329166666666,0.0,50.23583333333334
2012-02-24,5718.762500000001,0.0241125,41.16166666666667
2012-02-25,5224.816666666667,0.0,40.65833333333333
2012-02-26,5177.929166666667,0.0,36.33208333333333
2012-02-27,5725.854166666667,0.0,44.89541666666667
2012-02-28,5698.008333333332,0.0,43.97541666666666
2012-02-29,5837.804166666668,0.0108375,39.562916666666666
2012-03-01,5834.229166666667,0.0052124999999999,39.53541666666666
2012-03-02,5824.454166666666,0.0027833333333333,37.51875
2012-03-03,5175.749999999999,0.0075458333333333,48.26624999999999
2012-03-04,5082.908333333333,0.0,41.10583333333334
2012-03-05,5805.408333333334,0.0,36.09666666666666
2012-03-06,5906.3125,0.0,33.74791666666667
2012-03-07,5726.133333333334,0.0,47.94
2012-03-08,5614.520833333333,0.0,59.431666666666665
2012-03-09,5601.612499999999,0.0008333333333333,45.33166666666667
2012-03-10,5214.741666666666,0.0,36.0
2012-03-11,5015.791304347827,0.0,45.64625
2012-03-12,5569.325000000001,0.0,55.36541666666667
2012-03-13,5630.775000000001,0.0017958333333333,61.79458333333333
2012-03-14,5589.758333333334,0.0,62.89083333333336
2012-03-15,5577.616666666666,0.0,46.28874999999999
2012-03-16,5614.012500000001,0.0013291666666666,45.031666666666666
2012-03-17,5011.641666666666,0.0,50.54166666666668
2012-03-18,4865.816666666668,0.0,50.88791666666666
2012-03-19,5594.804166666665,0.0,60.40000000000001
2012-03-20,5683.837499999998,0.0,61.35208333333336
2012-03-21,5675.170833333333,0.0,59.19166666666667
2012-03-22,5738.004166666667,0.0,62.63083333333335
2012-03-23,5745.3,0.0,64.81041666666665
2012-03-24,4946.754166666668,0.0,56.88666666666666
2012-03-25,4859.704166666667,0.0039666666666666,47.60583333333333
2012-03-26,5512.004166666667,0.0,47.63208333333335
2012-03-27,5674.233333333334,0.0,40.49583333333333
2012-03-28,5592.224999999999,0.0009666666666666,53.8625
2012-03-29,5554.924999999999,0.0,52.55541666666665
2012-03-30,5501.483333333333,0.0,46.115416666666654
2012-03-31,5116.620833333334,0.0121041666666666,40.88541666666666
2012-04-01,4936.05,0.0122625,45.92208333333334
2012-04-02,5562.037499999999,0.0032916666666666,47.77125
2012-04-03,5560.325,0.0,51.68541666666667
2012-04-04,5560.725000000001,0.0,58.1375
2012-04-05,5500.725000000001,0.0,48.73374999999999
2012-04-06,5312.783333333334,4.583333333333333e-05,46.95583333333334
2012-04-07,4902.724999999999,0.0,50.17625000000001
2012-04-08,4721.449999999999,0.0,55.07333333333332
2012-04-09,5380.0,0.0,55.61416666666669
